id,nombre,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
A-001,Aspirante fuerte,337,118,5,4.5,4.5,9.65,1
A-002,Aspirante solido,324,107,4,4.0,4.5,8.87,1
A-003,Aspirante promedio,316,104,3,3.0,3.5,8.00,1
A-004,Aspirante sin investigacion,314,103,2,2.0,3.0,8.21,0
A-005,Aspirante en el tramo bajo,300,99,1,1.5,2.0,7.20,0
A-006,Sin puntaje TOEFL,321,n/a,3,3.5,3.0,8.60,1
A-007,Sin cartas de recomendacion,308,101,2,3.0,n/a,7.90,0
A-008,Perfil de alto rendimiento,334,116,5,4.0,5.0,9.40,1
A-009,Sin calificacion de universidad,312,,n/a,3.0,3.5,8.30,1
A-010,Aspirante de perfil medio-alto,327,111,4,4.5,4.0,9.00,0
