id,nombre,gre_score,toefl_score,university_rating,sop,lor,cgpa,research,prediccion,cesta,limite_inferior,limite_superior,advertencia
A-001,Aspirante fuerte,337,118,5,4.5,4.5,9.65,True,0.9453000000000009,segura,0.8986330508474585,0.9919669491525434,False
A-002,Aspirante solido,324,107,4,4.0,4.5,8.87,True,0.7600000000000002,probable,0.7133330508474578,0.8066669491525427,False
A-003,Aspirante promedio,316,104,3,3.0,3.5,8.0,True,0.7199999999999993,probable,0.6733330508474569,0.7666669491525417,False
A-004,Aspirante sin investigacion,314,103,2,2.0,3.0,8.21,False,0.6499999999999991,ambiciosa,0.6033330508474567,0.6966669491525416,False
A-005,Aspirante en el tramo bajo,300,99,1,1.5,2.0,7.2,False,0.5284000000000002,ambiciosa,0.48173305084745777,0.5750669491525426,True
A-006,Sin puntaje TOEFL,321,,3,3.5,3.0,8.6,True,0.7661999999999998,probable,0.7195330508474573,0.8128669491525422,False
A-007,Sin cartas de recomendacion,308,101,2,3.0,,7.9,False,0.6577999999999998,ambiciosa,0.6111330508474574,0.7044669491525423,False
A-008,Perfil de alto rendimiento,334,116,5,4.0,5.0,9.4,True,0.9287000000000011,segura,0.8820330508474586,0.9753669491525435,False
A-009,Sin calificacion de universidad,312,,,3.0,3.5,8.3,True,0.7350999999999995,probable,0.6884330508474571,0.781766949152542,False
A-010,Aspirante de perfil medio-alto,327,111,4,4.5,4.0,9.0,False,0.7632000000000001,probable,0.7165330508474577,0.8098669491525425,False
